x,y
0,10
10,0
100,0
0,100
7.071067827788018,7.071067795942932
32.4999999999889,0
54.99999999997086,0
77.50000000001943,0
100,24.99999999988819
100,49.99999999982369
100,74.99999999986328
75.00000000017764,100
50.00000000025812,100
25.00000000017764,100
0,77.50000000003817
0,55.00000000007494
0,32.49999999996183
18.85970095817955,43.88167058107276
78.49940216672653,37.27546189173503
62.73394420543345,75.57807263650017
45.07957992965045,17.10311728661329
17.16389054263971,24.30683872664532
17.00300947580404,10.23778344783693
36.89010310776119,77.33054726909621
50.68027440775927,59.1107469998109
8.247593569246353,16.8231379940774
81.44936175876255,61.67565425559832
66.24999999999515,19.01442841479802
17.51956553878892,65.5002094840807
53.09419072725598,38.71150676538235
32.62357610637171,32.35341397444674
28.87401121089096,16.80023068710846
81.6987298109301,81.69872981084586
84.44988043334824,16.25797806128424
15.88193372934555,84.06615135064303
33.48202885198749,54.35141187715617
65.29143465318755,54.47028850980535
100,100
